time,x,y,z
1.530000000000000027e+00,-9.817930667329530792e+00,-1.008212105487382182e+01,2.833967740015937409e+01
1.560000000000000053e+00,-9.823199311169760861e+00,-9.589971966062190489e+00,2.895384573983298893e+01
1.590000000000000080e+00,-9.679832318768328392e+00,-8.967666426339189201e+00,2.934156093974224078e+01
1.620000000000000107e+00,-9.403816192768227111e+00,-8.298929067483548749e+00,2.946226613539474570e+01
1.650000000000000133e+00,-9.029246192688987094e+00,-7.667811929673781890e+00,2.931682775780966921e+01
1.679999999999999938e+00,-8.601194498497470420e+00,-7.141498067239250958e+00,2.894081357778040697e+01
1.709999999999999964e+00,-8.167065005393689958e+00,-6.761741171990036214e+00,2.839088320183762448e+01
1.739999999999999991e+00,-7.769286500572071041e+00,-6.545527900127527055e+00,2.773096669673158132e+01
1.770000000000000018e+00,-7.440972085398783520e+00,-6.491451848489239396e+00,2.702262236593394462e+01
1.800000000000000044e+00,-7.204638878262344726e+00,-6.587410443910506785e+00,2.632052184081941348e+01
1.830000000000000071e+00,-7.073075599329209595e+00,-6.816620918949313435e+00,2.567176356365749967e+01
1.860000000000000098e+00,-7.051164087651821788e+00,-7.160799700309249616e+00,2.511711076044022306e+01
1.890000000000000124e+00,-7.137664812773558687e+00,-7.600613872543168448e+00,2.469257983685455216e+01
1.919999999999999929e+00,-7.326353362196910801e+00,-8.114073874117803342e+00,2.443031397516950776e+01
1.949999999999999956e+00,-7.606256415229424306e+00,-8.673713679385942399e+00,2.435801669358528088e+01
1.979999999999999982e+00,-7.961037004666724037e+00,-9.243547965093648955e+00,2.449640607081438759e+01
2.010000000000000231e+00,-8.367858689291733043e+00,-9.777098299380080348e+00,2.485440226130572938e+01
2.040000000000000036e+00,-8.796363626540436798e+00,-1.021818764622839915e+01,2.542238179985200119e+01
2.069999999999999840e+00,-9.208707135435414415e+00,-1.050632480634964416e+01,2.616504415085154278e+01
2.100000000000000089e+00,-9.561735922716231073e+00,-1.058763468934595231e+01,2.701705345781861922e+01
2.129999999999999893e+00,-9.812071248856012673e+00,-1.042984960304291242e+01,2.788565702687456138e+01
2.160000000000000142e+00,-9.923802656214505191e+00,-1.003636908483230350e+01,2.866328586532509348e+01
